date time,date,time,seconds since 1970,Humidity,Water_Temperature,Air_Temperature,Air_Pressure
2020-12-02T03:10:00+1000,02-12-2020,03:10:00,1.61E+09,81.1,27.23,26.7,1010.9
2020-12-02T03:20:00+1000,02-12-2020,03:20:00,1.61E+09,82.4,27.23,26.7,1010.9
2020-12-02T03:30:00+1000,02-12-2020,03:30:00,1.61E+09,81.3,27.23,26.6,1010.9
2020-12-02T03:40:00+1000,02-12-2020,03:40:00,1.61E+09,80.3,27.23,26.7,1010.9
2020-12-02T03:50:00+1000,02-12-2020,03:50:00,1.61E+09,81.3,27.23,26.7,1011
2020-12-02T04:00:00+1000,02-12-2020,04:00:00,1.61E+09,80.8,27.23,26.8,1011
2020-12-02T04:10:00+1000,02-12-2020,04:10:00,1.61E+09,80.6,27.23,26.7,1011.2
2020-12-02T04:20:00+1000,02-12-2020,04:20:00,1.61E+09,79.9,27.23,26.7,1011.3
2020-12-02T04:30:00+1000,02-12-2020,04:30:00,1.61E+09,81.1,27.23,26.7,1011.3
2020-12-02T04:40:00+1000,02-12-2020,04:40:00,1.61E+09,81,27.23,26.7,1011.3
2020-12-02T04:50:00+1000,02-12-2020,04:50:00,1.61E+09,82,27.23,26.8,1011.4
2020-12-02T05:00:00+1000,02-12-2020,05:00:00,1.61E+09,79.5,27.23,26.7,1011.5
2020-12-02T05:10:00+1000,02-12-2020,05:10:00,1.61E+09,81.3,27.23,26.7,1011.4
2020-12-02T05:20:00+1000,02-12-2020,05:20:00,1.61E+09,80.9,27.23,26.7,1011.5
2020-12-02T05:30:00+1000,02-12-2020,05:30:00,1.61E+09,81.4,27.23,26.7,1011.5
2020-12-02T05:40:00+1000,02-12-2020,05:40:00,1.61E+09,81.1,27.23,26.7,1011.8
2020-12-02T05:50:00+1000,02-12-2020,05:50:00,1.61E+09,81.8,27.23,26.8,1011.9
2020-12-02T06:00:00+1000,02-12-2020,06:00:00,1.61E+09,80.7,27.23,26.7,1012
2020-12-02T06:10:00+1000,02-12-2020,06:10:00,1.61E+09,79.6,27.23,26.9,1012.2
2020-12-02T06:20:00+1000,02-12-2020,06:20:00,1.61E+09,79.4,27.23,26.8,1012.4
2020-12-02T06:30:00+1000,02-12-2020,06:30:00,1.61E+09,78.9,27.23,26.9,1012.6
2020-12-02T06:40:00+1000,02-12-2020,06:40:00,1.61E+09,79.3,27.23,26.9,1012.7
2020-12-02T06:50:00+1000,02-12-2020,06:50:00,1.61E+09,79.7,27.2,27,1012.9
2020-12-02T07:00:00+1000,02-12-2020,07:00:00,1.61E+09,79.2,27.2,27.1,1013
2020-12-02T07:10:00+1000,02-12-2020,07:10:00,1.61E+09,80.3,27.2,26.9,1013.2
2020-12-02T07:20:00+1000,02-12-2020,07:20:00,1.61E+09,78.9,27.2,27,1013.2
2020-12-02T07:30:00+1000,02-12-2020,07:30:00,1.61E+09,78.8,27.2,27.1,1013.2
